"","country","0_1","1_2","2_5","5_10","10_20","20_50","50_100","100_200","200_500","500_1000","1000_5000"
"1","Albania",0.06801171528099,0.10527716885649,0.82671111586252,0,0,0,0,0,0,0,0
"2","Algeria",0.0118042551966277,0.0271712474082565,0.120907573063478,0.20097800755234,0.317465094953311,1.15504794453359e-05,0.155808434796204,0.0890803106509817,0.0767735258993555,0,0
"3","American Samoa ",0.1946663231126,0.289229580005153,0.303014686936357,0.141329554238598,0.0622262303530018,0.00953362535429013,0,0,0,0,0
"4","Argentina ",0,0,0.00084386090677165,0.00140913367905098,0.00349512933177608,2.96491669946796e-07,0.0207941011659455,0.0395098641467186,0.0871808382633721,0.0847882987327364,0.761978477281959
"5","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Austria",0,0.0288022122327945,0.0691400142366437,0.127079168160534,0.233904301815298,8.31986514852991e-06,0.125860211173656,0.415205772515925,0,0,0
"7","Bahamas ",0.0152254948285819,0.0306609964823857,0.0538142489630913,0.0457814878983567,0.0507166482910695,0.00876778495301097,0.795033338583504,0,0,0,0
"8","Barbados ",0.102049550620572,0.0313852299205859,0.02624946502449,0.013980693328261,0.0174045365923249,0.0065623662561225,0.0921584478577203,0.222549812164154,0.456750202101859,0.0309096961339103,0
"9","Belgium",0,0.0141348565791592,0.0352343840091157,0.0717817797360047,0.175372695521717,0.000147285662254567,0.485391888327783,0.217937110163967,0,0,0
"10","Brazil",0.000856122432711402,0.00194161800570071,0.00775057490463679,0.0134701215599026,0.0298599010774474,2.16349509255932e-07,0.0836625167296067,0.10031057185356,0.153687469567851,0.122454727250185,0.486006160268889
"11","Bulgaria",0.0709797490279902,0,0.0891485009858299,0,0,1.84267261235696e-05,0.839853323260056,0,0,0,0
"12","Burkina Faso",0.0179998156936829,0.0739998502511174,0.345999401004469,0.367001105837903,0.194999827212828,0,0,0,0,0,0
"13","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Chile",0.000833126052918541,0.0017162539893607,0.00693009398564059,0.014126904462153,0.026735215523035,9.54689900212231e-07,0.0513347101818036,0.0539703305450687,0.0789643508050999,0.0646440023019165,0.700744057463103
"15","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Colombia",0.00437733923906728,0.0088457760604636,0.0309625894953306,0.0465996538063671,0.0713647095587949,3.21762502715299e-06,0.170865404896691,0.172668552833894,0.264669557554423,0.229643198929941,0
"17","Cook Islands",0.43245869776482,0.292517006802721,0.275024295432459,0,0,0,0,0,0,0,0
"18","Côte d'Ivoire",0.0621782007956407,0.0724684054481889,0.206496248266925,0.296980342361957,0.361874960655551,1.84247173725125e-06,0,0,0,0,0
"19","Croatia",0.0847792050928329,0.107014847891326,0.286223663555345,0.304292837893457,0.217579828873864,0.000109616693174603,0,0,0,0,0
"20","Cyprus",0.0761422484682052,0.0813361993130828,0.172524841465933,0.150326247427885,0.162144589188321,0.000550757674272732,0.137314597373192,0.219660519089108,0,0,0
"21","Czech Republic",0.00146419603182068,0.0033986905749328,0.00851639346598602,0.0123469035831046,0.0212272795938901,5.98561741643651e-06,0.0366536408230509,0.0440840722720549,0.0825858437297807,0.158233216756308,0.631483777551654
"22","Democratic Republic of the Congo",0.628387150814591,0.231394228755706,0.140218620429702,0,0,0,0,0,0,0,0
"23","Denmark",0,0.00137756577108805,0.00234712639341436,0.0350928299456476,0.0813202520155674,5.83491234250672e-05,0.374640856758167,0.505163019992691,0,0,0
"24","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Dominica ",0.0934339464444794,0.167478907928523,0.241995493371063,0.154168631766494,0.0618875438872295,0.00293454907509301,0.110674422260651,0.099669863229052,0.0677566420374155,0,0
