"region","ag","internet","weight","prop","denom","country","region.type","year","source","source2","iso","data.id","scale"
"11",1,1,1482,0.147213668,10067,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"12",1,1,1554,0.076001369,20447,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"13",1,1,1177,0.079280614,14846,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"14",1,1,2144,0.491968793,4358,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"23",1,1,810,0.007283321,111213,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"24",1,1,2391,0.051403878,46514,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"11",0,1,14943,0.087277761,171212,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"12",0,1,66262,0.136260256,486290,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"13",0,1,138679,0.189238646,732826,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"14",0,1,214001,0.403451949,530425,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"21",0,1,2403,0.01675008,143462,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"22",0,1,1851,0.012885575,143649,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"23",0,1,5373,0.045873283,117127,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"24",0,1,6260,0.069855157,89614,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"11",1,0,8585,0.852786332,10067,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"12",1,0,18893,0.923998631,20447,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"13",1,0,13669,0.920719386,14846,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"14",1,0,2214,0.508031207,4358,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"21",1,0,189423,1,189423,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"22",1,0,142882,1,142882,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"23",1,0,110403,0.992716679,111213,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"24",1,0,44123,0.948596122,46514,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
"11",0,0,156269,0.912722239,171212,"Bolivia","stratum",2016,"household survey 2016","misc","BOL","BOL_misc_2016",1
