"region","ag","cell","weight","prop","denom","region.type","country","year","source","source2","iso","data.id","scale"
"1",1,1,3595.350922,0.839046638,4285.042999,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"2",1,1,10291.96149,1,10291.96149,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"3",1,1,1868.843689,1,1868.843689,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"4",1,1,8557.502327,1,8557.502327,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"5",1,1,4460.171387,1,4460.171387,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"6",1,1,3385.91745,0.573682548,5902.075043,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"7",1,1,123.0162354,1,123.0162354,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"8",1,1,5054.791534,0.706636521,7153.312042,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"9",1,1,3791.385742,1,3791.385742,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"11",1,1,2313.985962,1,2313.985962,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"12",1,1,1081.955063,1,1081.955063,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"13",1,1,1210.469864,1,1210.469864,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"14",1,1,181.3708191,1,181.3708191,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"15",1,1,4188.531036,0.704437946,5945.919098,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"16",1,1,13818.63678,1,13818.63678,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"17",1,1,1495.19281,1,1495.19281,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"18",1,1,2489.545959,1,2489.545959,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"19",1,1,6502.261429,1,6502.261429,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"20",1,1,2305.766754,0.414888372,5557.559357,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"21",1,1,2782.092529,1,2782.092529,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"22",1,1,4249.231812,1,4249.231812,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"23",1,1,2331.318619,0.590412511,3948.626724,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"24",1,1,5087.962349,0.962487623,5286.262627,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"25",1,1,7010.645081,1,7010.645081,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"26",1,1,8046.607269,0.822262507,9785.934784,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"27",1,1,6627.269775,1,6627.269775,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"28",1,1,2202.033264,1,2202.033264,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"1",0,1,73602.38672,1,73602.38672,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"2",0,1,90804.93739,0.990130345,91710.08424,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"3",0,1,79096.02438,0.984811268,80315.92136,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
"4",0,1,42767.17552,1,42767.17552,"region","Bulgaria",2013,"BLISS","misc","BGR","BGR_misc_2013",1
