"region","ag.land","country","year","weight","denom","prop","mobile","internet","iso","scale"
"1",0,"tanzania",2007,31.588187,59601934,0.52998594,0,NA,"TZA",1000000
"2",0,"tanzania",2007,65.766011,156437470,0.420398073,0,NA,"TZA",1000000
"3",0,"tanzania",2007,46.686448,95840709,0.487125445,0,NA,"TZA",1000000
"4",0,"tanzania",2007,36.970709,80323954,0.460270034,0,NA,"TZA",1000000
"5",0,"tanzania",2007,73.516946,144381747,0.509184489,0,NA,"TZA",1000000
"6",0,"tanzania",2007,30.831647,55851954,0.5520245,0,NA,"TZA",1000000
"7",0,"tanzania",2007,121.404247,514014828,0.236188219,0,NA,"TZA",1000000
"8",0,"tanzania",2007,19.711342,31877522,0.618346119,0,NA,"TZA",1000000
"9",0,"tanzania",2007,36.459582,44598907,0.817499451,0,NA,"TZA",1000000
"10",0,"tanzania",2007,20.924648,35242641,0.593730986,0,NA,"TZA",1000000
"11",0,"tanzania",2007,36.237168,52119875,0.695265827,0,NA,"TZA",1000000
"12",0,"tanzania",2007,75.677717,128294990,0.589872738,0,NA,"TZA",1000000
"13",0,"tanzania",2007,16.802333,27432742,0.612491927,0,NA,"TZA",1000000
"14",0,"tanzania",2007,48.40428,92779607,0.521712492,0,NA,"TZA",1000000
"15",0,"tanzania",2007,26.348257,40227440,0.654982196,0,NA,"TZA",1000000
"16",0,"tanzania",2007,33.384981,45961796,0.726363717,0,NA,"TZA",1000000
"17",0,"tanzania",2007,53.104546,92090316,0.576657224,0,NA,"TZA",1000000
"18",0,"tanzania",2007,27.250801,29960479,0.909558255,0,NA,"TZA",1000000
"19",0,"tanzania",2007,138.511293,249426065,0.555320042,0,NA,"TZA",1000000
"20",0,"tanzania",2007,46.814437,100329033,0.466609072,0,NA,"TZA",1000000
"21",0,"tanzania",2007,21.342312,35848050,0.595354894,0,NA,"TZA",1000000
"51",0,"tanzania",2007,9.612211,16171536,0.594390725,0,NA,"TZA",1000000
"52",0,"tanzania",2007,4.016516,9082705,0.442215838,0,NA,"TZA",1000000
"53",0,"tanzania",2007,12.640021,63395650,0.199383096,0,NA,"TZA",1000000
"54",0,"tanzania",2007,9.612916,16208941,0.593062557,0,NA,"TZA",1000000
"55",0,"tanzania",2007,9.538441,16279157,0.585929665,0,NA,"TZA",1000000
"1",1,"tanzania",2007,287.007814,324124671,0.885485863,0,NA,"TZA",1000000
"2",1,"tanzania",2007,144.71283,205949804,0.702660683,0,NA,"TZA",1000000
"3",1,"tanzania",2007,143.501967,266730434,0.538003725,0,NA,"TZA",1000000
"4",1,"tanzania",2007,258.28091,324948327,0.794836866,0,NA,"TZA",1000000
"5",1,"tanzania",2007,270.640573,344383490,0.785869767,0,NA,"TZA",1000000
"6",1,"tanzania",2007,123.246473,156438938,0.787824787,0,NA,"TZA",1000000
"7",1,"tanzania",2007,22.90778,110187157,0.207898821,0,NA,"TZA",1000000
"8",1,"tanzania",2007,202.02521,224805263,0.898667617,0,NA,"TZA",1000000
"9",1,"tanzania",2007,274.567357,295904707,0.927891144,0,NA,"TZA",1000000
"10",1,"tanzania",2007,257.962176,282024534,0.914679912,0,NA,"TZA",1000000
"11",1,"tanzania",2007,329.795677,399137354,0.826271141,0,NA,"TZA",1000000
"12",1,"tanzania",2007,379.390661,482077238,0.786991443,0,NA,"TZA",1000000
"13",1,"tanzania",2007,170.683185,186577605,0.914810676,0,NA,"TZA",1000000
"14",1,"tanzania",2007,256.907983,300586784,0.854688219,0,NA,"TZA",1000000
"15",1,"tanzania",2007,223.446098,252759347,0.884027043,0,NA,"TZA",1000000
"16",1,"tanzania",2007,248.781059,282844004,0.879569853,0,NA,"TZA",1000000
"17",1,"tanzania",2007,444.043458,502351420,0.883929935,0,NA,"TZA",1000000
"18",1,"tanzania",2007,363.89038,450270575,0.808159361,0,NA,"TZA",1000000
