country,year,source,iso,data.id,ag.question.en,cell.question.en,int.question.en,ag.question.or,cell.question.or,int.question.or,ag.question.id,cell.question.id,int.question.id,date.accessed,url
Albania,2009,DHS,ALB,ALB_DHS_2009,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,A ka ne pronesi ndonje nga anetaret e familjes suaj toke bujqesore? ,A keni ne familjen tuaj? … Nje telefon celular?,NA,HV244,HV243A,NA,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-327.cfm
Angola,2016,DHS,AGO,AGO_DHS_2016,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,The household has at home: … internet access?,Algum membro deste agregado familiar possui terra para o cultivo? ,Algum membro do agregado familiar possui: … Telefonecelular?,O agregado familiar possui em casa: … Acessoainternet?,HV244,HV243A,SH121G,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-477.cfm
Argentina,2001,IPUMS,ARG,ARG_IPUMS_2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-Apr-18,https://international.ipums.org/international-action/sample_details/country/ar#ar2001a
Armenia,2016,DHS,ARM,ARM_DHS_2016,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,Does the household have a connection to the internet through any device? ,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,Does the household have a connection to the internet through any device? ,HV244,HV243A,SH121U,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-492.cfm
Azerbaijan,2006,DHS,AZE,AZE_DHS_2006,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,HV244,HV243A,NA,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-492.cfm
Bangladesh,2014,DHS,BGD,BGD_DHS_2014,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,HV244,HV243A,NA,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-461.cfm
Belarus,2009,IPUMS,BLR,BLR_IPUMS_2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-Apr-18,https://international.ipums.org/international-action/sample_details/country/by#by2009a
Benin,2012,DHS,BEN,BEN_DHS_2012,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,In your household is there… internet at home?,NA,NA,NA,HV244,HV243A,SH110M,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-420.cfm
Bolivia,2016,misc,BOL,BOL_misc_2016,NA,NA,Does the household have access to the internet service in their home?,NA,NA,Tiene el hogar acceso al servicio de internet en su vivienda?,NA,NA,s1a_30,04-Apr-18,http://catalog.ihsn.org/index.php/catalog/7137/related_materials
Botswana,2011,IPUMS,BWA,BWA_IPUMS_2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-Apr-18,https://international.ipums.org/international-action/sample_details/country/bw#bw2011a
Brazil,2010,IPUMS,BRA,BRA_IPUMS_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-Apr-18,https://international.ipums.org/international-action/sample_details/country/br#br2010a
Bulgaria,2013,misc,BGR,BGR_misc_2013,"In what industry/sector is this job? … Agriculture, hunting, forestry & fishing",How many of the following assets own your household in working condution? … Mobile phone,Availability in the dwelling of: … Internet connection,NA,NA,NA,m2_q15,m4_q14,m3_q5_10,30-Apr-18,http://microdata.worldbank.org/index.php/catalog/2546
Burkina Faso [NQ],2010,DHS,BFA,BFA_DHS_2010,NA,NA,NA,NA,NA,NA,HV244,HV243A,NA,15-Mar-18,https://www.dhsprogram.com/what-we-do/survey/survey-display-329.cfm
Burundi,2017,DHS,BDI,BDI_DHS_2017,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,Est-ce qu'un membre de votre me_nage possède des terres cultivables ? u,Est-ce qu'un membre de votre menage possède : Un téléphone portable?,NA,HV244,HV243A,NA,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-463.cfm
Cambodia,2008,IPUMS,KHM,KHM_IPUMS_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,04-Apr-18,https://international.ipums.org/international-action/sample_details/country/kh#kh2008a
Cambodia,2014,DHS,KHM,KHM_DHS_2014,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,Does any member of this household own any agricultural land?,Does any member of this household own: … A mobile phone?,NA,HV244,HV243A,NA,15-Mar-18,https://dhsprogram.com/what-we-do/survey/survey-display-464.cfm
