"","iso3c","Country","Region","Continent","Cost_1_GB_USD_month_2018","Cost_1_GB_USD_month_2019","Afford_decile_1_2015","Afford_decile_1_2016","Afford_decile_1_2017","Afford_decile_1_2018","Afford_decile_1_2019","Afford_2015","Afford_2016","Afford_2017","Afford_2018","Afford_2019","Price_data_year_2015","Price_data_year_2016","Price_data_year_2017","Price_data_year_2018","Price_data_year_2019","GNI_WB_capita_2015","GNI_WB_capita_2016","GNI_WB_capita_2017","GNI_WB_capita_2018","GNI_WB_capita_2019","share_bottom_10_2015","share_bottom_10_2016","share_bottom_10_2017","share_bottom_10_2018","share_bottom_10_2019","Decile_1_current_2015","Decile_1_current_2016","Decile_1_current_2017","Decile_1_current_2018","Decile_1_current_2019","surveyyear_2015","surveyyear_2016","surveyyear_2017","surveyyear_2018","surveyyear_2019","A4AI_Income_2018","A4AI_Income_2019","A4AI_Income_month_2018","A4AI_Income_month_2019"
"1","AFG","Afghanistan","South Asia","Asia",1.98221537547,1.912924166597,NA,NA,NA,NA,NA,NA,NA,NA,0.04173085001,0.041736527271,NA,NA,NA,22.9519675055,22.53772472634,NA,NA,NA,550,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.999999998562,550.000000002731,47.4999999998802,45.833333333561
"2","DZA","Algeria","Middle East & North Africa","Africa",6.72549663081,6.702796443123,NA,NA,NA,0.0509507320515909,0.050650854733927,NA,NA,NA,0.02038029282,0.019811221014,NA,NA,NA,80.7059595672,78.65054742558,NA,NA,NA,3960,3970,NA,NA,NA,4,4,NA,NA,NA,1584,1588,NA,NA,NA,"2011","2011",3960.00000012365,4060.0000000321,330.000000010304,338.333333336009
"3","AGO","Angola","Sub-Saharan Africa","Africa",13.03883203861,6.098903279142,NA,NA,NA,0.374948441081524,0.184582192559153,NA,NA,NA,0.04698678212,0.021717163012,NA,NA,NA,150.8275706052,66.2373471866,NA,NA,NA,3210,3050,NA,NA,NA,1.3,1.3,NA,NA,NA,417.3,396.5,NA,NA,NA,"2018","2018",3330.00000007917,3369.99999996611,277.500000006598,280.833333330509
"4","ARG","Argentina","Latin America & Caribbean","Americas",12.14864362107,6.83922833408,0.0838888888888889,0.0877777777777778,0.0433333333333333,0.0653680044179177,0.0407096924647619,0.0151,0.0158,0.0078,0.01117973339,0.006634659661,189.807,193.076,102.336,138.5168967021,74.3081882032,12570,12220,13120,12390,11200,1.8,1.8,1.8,1.8,1.8,2262.6,2199.6,2361.6,2230.2,2016,"2016","2016","2017","2018","2018",13040.0000042255,12370.0000003602,1086.66666701879,1030.83333336335
"5","BGD","Bangladesh","South Asia","Asia",2.87710368016,2.240486849893,0.0981081081081081,0.0718918918918919,0.0605405405405405,0.0533208404045096,0.0374558960695403,0.0363,0.0266,0.0224,0.02348656065,0.015363338399,44.286,36.442,34.048,41.1014811375,29.80487649406,1220,1370,1520,1750,1940,3.7,3.7,3.7,3.7,3.7,451.4,506.9,562.4,647.5,717.8,"2016","2016","2016","2016","2016",1470.00000027335,1750.00000003033,122.500000022779,145.833333335861
"6","BLZ","Belize","Latin America & Caribbean","Americas",17.11146201016,17.375621668591,NA,NA,NA,NA,NA,NA,NA,NA,0.04677392805,0.044175309327,NA,NA,NA,208.1439798225,196.58012650515,NA,NA,NA,4450,4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4389.99999962415,4719.99999999212,365.833333302012,393.333333332677
"7","BEN","Benin","Sub-Saharan Africa","Africa",5.2204424366,4.281616666508,1.66,1.65,1.08,0.52204424366,0.411035199984768,0.166,0.165,0.108,0.07830663655,0.059056781607,195.88,183.15,117.72,93.96796386,73.82097700875,1180,1110,1090,1200,1250,1,1,1,1,1,118,111,109,120,125,"2015","2015","2015","2015","2015",799.999999989784,870.000000000102,66.6666666658153,72.5000000000085
"8","BOL","Bolivia","Latin America & Caribbean","Americas",5.68353008691,5.790808888617,0.262727272727273,0.263636363636364,0.2275,0.134920595534956,0.131236462064974,0.0289,0.029,0.0273,0.02178989171,0.020620090998,85.544,88.16,84.357,73.4319350627,72.78892122294,2960,3040,3090,3370,3530,1.1,1.1,1.2,1.5,1.5,325.6,334.4,370.8,505.5,529.5,"2015","2016","2017","2018","2018",3129.99999956953,3370.00000000698,260.83333329746,280.833333333915
"9","BWA","Botswana","Sub-Saharan Africa","Africa",8.84477743693,8.85114630907,0.382666666666667,0.340666666666667,0.146,0.0954901747576788,0.0924401703297128,0.0574,0.0511,0.0219,0.01556265825,0.013705000737,392.616,335.727,147.387,115.3192976325,104.98030564542,6840,6570,6730,7410,7660,1.5,1.5,1.5,1.5,1.5,1026,985.5,1009.5,1111.5,1149,"2015","2015","2015","2015","2015",6819.99999859664,7749.99999978767,568.333333216387,645.833333315639
"10","BRA","Brazil","Latin America & Caribbean","Americas",5.24530899061,9.826132073658,0.164166666666667,0.127272727272727,0.17,0.0693212641930837,0.12914960009189,0.0197,0.014,0.017,0.00733609649,0.012900829856,200.743,124.88,147.9,66.6117561292,117.78457658528,10190,8920,8700,9080,9130,1.2,1.1,1,1,1,1222.8,981.2,870,908,913,"2015","2016","2017","2018","2018",8580.00000042529,9140.00000000434,715.000000035441,761.666666667028
